specialist	source_namespace	capability_class	safety_level	safety_tags	tool_profile	primary_lane	primary_profile	backup_lane	backup_profile	escalate_lane	escalate_profile	escalation_policy	review_lane	review_profile	anti_affinity	throughput_lane	throughput_profile	throughput_policy	failover_policy	operator_gate	heightened_risk	requires_approval	required_tools	preferred_tools	notes	tags	version	operator_model_consult
software-supply-chain-engineer	coding	implementation	high	[dual_use, live_target]	none	claude	claude.opus5.xhigh	codex	codex.sol.high	claude	claude.opus5.max	escalation.safety_floor.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[public_release, credential_change, delete]	true	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Heightened-risk release-integrity role; produces verifiable evidence without taking custody of production signing secrets.	[supply-chain, security, high-safety]	1.0	false
sol	shared	judgment	medium	[]	none	codex	codex.sol.ultra	claude	claude.opus5.high	codex	codex.sol.ultra	escalation.signal.v1	claude	claude.opus5.max	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[]	[]	[chrono-vault]	Persona-blank gpt-5.6 advisor for an independent, unbiased, prioritized second opinion; read-only except for its return artifact.	[]	2.0	false
sound-designer	content	media_production	low	[]	media.elevenlabs	gemini	gemini.flash.default	codex	codex.sol.high	gemini	gemini.pro.deep	escalation.signal.v1	claude	claude.fable.xhigh	none	none	none	throughput.never.v1	failover.conservative.v1	[paid_media, public_release]	false	[Write, Bash, WebFetch]	[chrono-media-studio]	[chrono-vault, sequential-thinking]	Sound-effect design is blueprint-only unless the separate Claude ElevenLabs sibling MCP earns role-scoped credential and semantic receipts; never infer those operations from chrono-media-studio.	[]	2.0	false
summarizer	shared	research_synthesis	low	[]	none	kimi	kimi.k3.high	codex	codex.sol.high	kimi	kimi.k3.256k	escalation.signal.v1	codex	codex.sol.high	none	kimi	kimi.k2.7.bulk	throughput.downshift_gated.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Fable is the quality primary; Kimi is available only through the low-risk bulk gate. Kimi has no native dollar/effort ceiling, so every Kimi-mediated metered child call requires an external-budget-ceiling=<numeric provider unit> before dispatch.	[]	2.0	false
synthesizer	research	research_synthesis	medium	[]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-research-arsenal, chrono-vault, sequential-thinking]	Aggregate findings, preserve outliers, and produce concise synthesis on Fable; Perplexity structured evidence remains partial and must pass claim-to-citation/date-window validation.; degrades[Google Search grounding]=typed Gemini handoff or needs_tool	[]	2.0	false
systems-engineer	coding	implementation	medium	[]	none	codex	codex.sol.ultra	claude	claude.opus5.high	codex	codex.sol.ultra	escalation.signal.v1	claude	claude.opus5.high	none	none	none	throughput.never.v1	failover.conservative.v1	[production_mutation, delete]	false	[Write, Bash, WebFetch]	[]	[chrono-research-arsenal, chrono-vault, sequential-thinking]	Low-level systems, cross-architecture builds, and runtime behavior.	[]	2.0	false
technical-artist	coding	implementation	medium	[]	none	claude	claude.opus5.xhigh	codex	codex.sol.high	claude	claude.opus5.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[public_release]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Bridges generated art to real-time runtime assets; Gemini is the graphics backup and Claude provides independent code/performance review. Stitch/nanobanana and all raw Higgsfield tools remain partial; raw tools are Claude-child handoffs and paid actions require paid_media plus get_cost:true.	[games, graphics, asset-pipeline]	1.0	false
technical-writer	content	content_text	medium	[]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Code-derived documentation, changelogs, ADRs, and handoffs.	[]	2.0	false
test-engineer	coding	implementation	medium	[]	none	claude	claude.opus5.high	codex	codex.sol.high	claude	claude.opus5.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrome-devtools, chrono-research-arsenal, chrono-vault, playwright, sequential-thinking]	Test design, fixtures, regression coverage, and game-pipeline acceptance.	[]	2.0	false
threat-modeler	security	security_reasoning	high	[dual_use]	none	claude	claude.opus5.max	codex	codex.sol.high	claude	claude.opus5.max	escalation.safety_floor.v1	codex	codex.sol.ultra	none	none	none	throughput.never.v1	failover.conservative.v1	[]	true	[Write, Bash, WebFetch]	[chrono-vault]	[chrono-dedup, chrono-research-arsenal, sequential-thinking]	Attack trees, STRIDE, abuse cases, and risk ranking.	[]	2.0	false
triage	shared	judgment	medium	[]	none	claude	claude.fable.xhigh	codex	codex.sol.high	claude	claude.fable.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Initial classification, mode suggestion, and risk triage.	[]	2.0	false
ui-engineer	coding	implementation	medium	[]	none	claude	claude.opus5.xhigh	codex	codex.sol.high	claude	claude.opus5.max	escalation.signal.v1	codex	codex.sol.high	none	none	none	throughput.never.v1	failover.conservative.v1	[public_release]	false	[Write, Bash, WebFetch]	[chrome-devtools]	[chrono-research-arsenal, chrono-vault, playwright, sequential-thinking]	Component implementation with a probe-verified Gemini fresh-browser backup and Claude cross-family review; authenticated CDP :9222 remains Claude-specific. Stitch remains partial and Figma is controller-smoked read-only.	[]	2.0	false
vega	shared	judgment	medium	[]	none	gemini	gemini.pro.deep	claude	claude.opus5.high	gemini	gemini.pro.deep	escalation.signal.v1	codex	codex.sol.ultra	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[]	[]	[chrono-vault]	Persona-blank gemini.pro.deep advisor for an independent, unbiased, prioritized second opinion; read-only except for its return artifact.	[]	2.0	false
vibecoding-check	shared	code_review	medium	[]	none	codex	codex.sol.high	claude	claude.opus5.high	codex	codex.sol.ultra	escalation.signal.v1	claude	claude.opus5.high	none	none	none	throughput.never.v1	failover.conservative.v1	[]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Scope, artifact quality, acceptance, and drift checking.	[]	2.0	false
video-director	content	media_production	medium	[]	none	gemini	gemini.flash.default	codex	codex.sol.high	gemini	gemini.pro.deep	escalation.signal.v1	claude	claude.fable.xhigh	none	none	none	throughput.never.v1	failover.conservative.v1	[paid_media, public_release]	false	[Write, Bash, WebFetch]	[chrono-media-studio]	[chrono-vault, sequential-thinking]	Governed wrapper generation is required. Raw direction/scoring utilities are schema-observed, unproven Claude-child tools and every paid create/edit requires paid_media plus get_cost:true; Claude backup produces a TBASF storyboard when unavailable.; degrades[higgsfield__models_explore]=Claude-child handoff or TBASF blueprint; degrades[higgsfield__motion_control]=Claude-child handoff or TBASF blueprint; degrades[higgsfield__virality_predictor]=Claude-child handoff or TBASF blueprint	[]	2.0	false
video-editor	content	media_production	low	[]	none	gemini	gemini.flash.default	codex	codex.sol.high	gemini	gemini.pro.deep	escalation.signal.v1	claude	claude.fable.xhigh	none	none	none	throughput.never.v1	failover.conservative.v1	[paid_media, public_release]	false	[Write, Bash, WebFetch]	[]	[chrono-vault, sequential-thinking]	Post-production remains a TBASF blueprint unless the schema-observed, unproven Claude-child tools earn semantic receipts; every paid edit requires paid_media plus get_cost:true.; degrades[higgsfield__reframe]=Claude-child handoff or TBASF blueprint; degrades[higgsfield__upscale_video]=Claude-child handoff or TBASF blueprint; degrades[higgsfield__remove_background]=Claude-child handoff or TBASF blueprint; degrades[higgsfield__outpaint_image]=Claude-child handoff or TBASF blueprint	[]	2.0	false
voice-agent-builder	content	media_production	high	[]	media.elevenlabs-agent	gemini	gemini.flash.default	codex	codex.sol.high	gemini	gemini.pro.deep	escalation.safety_floor.v1	claude	claude.fable.xhigh	none	none	none	throughput.never.v1	failover.conservative.v1	[public_release, credential_change, live_outreach]	false	[Write, Bash, WebFetch]	[chrono-media-studio]	[chrono-vault, sequential-thinking]	Voice-agent construction is specification-only until the separate Claude ElevenLabs sibling MCP earns role-scoped credential, consent, and semantic receipts; operations[chrono-vault]=recall; recall remains independent.	[]	2.0	false
voice-narrator	content	media_production	low	[]	media.elevenlabs	gemini	gemini.flash.default	codex	codex.sol.high	gemini	gemini.pro.deep	escalation.signal.v1	claude	claude.fable.xhigh	none	none	none	throughput.never.v1	failover.conservative.v1	[paid_media, public_release]	false	[Write, Bash, WebFetch]	[chrono-media-studio]	[chrono-vault, sequential-thinking]	Narration remains SSML/pronunciation blueprint work until the separate Claude ElevenLabs sibling MCP earns role-scoped credential, consent where applicable, and semantic receipts; never infer voice operations from chrono-media-studio.	[]	2.0	false
